"filename", "language", "JSON with Comments", "Markdown", "JSON", "HTML", "TypeScript", "TypeScript React", "XML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\routes\boxerRoutes.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\routes\clubRoutes.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\routes\userRoutes.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 7, 33
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\types\Interfaces.ts", "TypeScript", 0, 0, 0, 0, 98, 0, 0, 0, 0, 3, 8, 109
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\types\interface.d.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\utils\apiResponse.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\utils\appError.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\utils\catchErrorsAsync.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\utils\email.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\tsconfig.json", "JSON with Comments", 18, 0, 0, 0, 0, 0, 0, 0, 0, 81, 9, 108
"Total", "-", 39, 0, 40848, 13, 1202, 617, 1, 0, 480, 271, 292, 43763
